epoch,train_loss,val_loss,val_f1,val_mae
1,0.3181,0.2948,0.1690,0.51;0.62;0.57;0.51;0.69;0.57;0.82;0.66;0.87;0.61;0.76;0.81;0.57
2,0.2851,0.3132,0.2042,0.48;0.61;0.56;0.40;0.62;0.56;0.76;0.54;0.83;0.92;0.69;0.73;0.62
3,0.2588,0.3959,0.1939,0.95;0.70;0.71;0.78;0.65;1.88;2.09;1.36;0.80;0.50;9.43;6.73;9.91
4,0.2418,0.2786,0.2808,0.44;0.51;0.44;0.41;0.60;0.42;0.75;0.58;0.82;0.42;0.77;0.70;0.65
5,0.2214,0.3801,0.2144,0.92;0.75;1.10;0.46;0.66;0.44;0.79;0.80;0.88;0.44;0.74;0.75;0.39
6,0.2047,0.3016,0.3345,0.48;0.50;0.47;0.53;0.63;0.59;0.79;0.59;0.66;0.80;0.60;0.84;0.79
7,0.1981,0.2967,0.3333,0.45;0.42;0.35;0.43;0.55;0.45;0.72;0.81;0.83;0.82;0.58;0.77;0.40
8,0.1767,0.2640,0.3751,0.44;0.43;0.37;0.48;0.72;0.77;0.70;0.75;0.76;0.57;0.53;0.61;0.48
9,0.1742,0.3017,0.3483,0.46;0.47;0.36;0.46;0.55;0.44;0.76;0.60;0.88;0.58;0.95;0.64;0.80
10,0.1578,0.3144,0.4897,0.40;0.43;0.35;0.48;0.54;1.14;0.86;0.55;0.66;0.77;0.66;0.69;0.49
11,0.1479,0.2993,0.3940,0.40;0.45;0.40;0.47;0.61;0.64;0.76;0.69;0.68;1.06;0.61;0.71;0.47
12,0.1450,0.2992,0.4726,0.73;0.35;0.50;0.48;0.57;0.58;0.82;0.50;0.68;0.48;0.82;0.66;0.81
13,0.1354,0.2789,0.3364,0.54;0.52;0.80;0.32;0.61;0.42;0.78;0.51;0.76;0.51;0.52;0.71;0.43
14,0.1329,0.2622,0.4176,0.66;0.37;0.54;0.35;0.61;0.48;0.79;0.50;0.63;0.54;0.59;0.69;0.50
15,0.1266,0.2736,0.4679,0.63;0.40;0.59;0.49;0.62;0.55;0.79;0.47;0.59;0.53;0.53;0.77;0.59
16,0.1216,0.2491,0.5146,0.66;0.31;0.34;0.49;0.46;0.57;0.77;0.59;0.68;0.46;0.62;0.60;0.61
17,0.1139,0.2495,0.2883,0.49;0.36;0.34;0.41;0.58;0.45;0.78;0.46;0.75;0.41;0.45;0.65;0.60
18,0.1099,0.2376,0.5058,0.53;0.37;0.32;0.51;0.68;0.50;0.74;0.53;0.64;0.49;0.46;0.67;0.45
19,0.1079,0.2814,0.4463,0.52;0.47;0.41;0.42;0.57;0.49;0.75;0.46;0.65;0.40;0.52;0.63;0.98
20,0.1083,0.5045,0.4531,0.72;0.51;0.41;0.46;0.51;3.27;0.81;0.45;1.00;0.79;0.52;0.82;0.39
21,0.1021,0.2648,0.5210,0.47;0.47;0.35;0.76;0.48;0.44;0.81;0.49;0.73;0.54;0.49;0.65;0.61
22,0.1020,0.3264,0.4911,0.64;0.42;0.40;0.45;0.46;1.52;0.80;0.52;0.45;0.66;0.58;0.75;0.61
23,0.0947,0.2523,0.4964,0.50;0.42;0.37;0.64;0.44;0.44;0.73;0.70;0.73;0.35;0.44;0.69;0.48
