epoch,train_loss,val_loss,val_f1,val_mae
1,0.3121,0.3126,0.0000,0.38;0.55;0.46;0.25;0.59;0.42;0.77;0.49;0.86;0.35;0.48;0.69;0.31
2,0.2756,0.3059,0.0000,0.48;0.56;0.47;0.33;0.60;0.43;0.78;0.52;0.86;0.35;0.53;0.67;0.33
3,0.2664,0.2912,0.0000,0.38;0.56;0.46;0.32;0.61;0.44;0.77;0.52;0.84;0.49;0.49;0.70;0.36
4,0.2575,0.2815,0.0000,0.44;0.58;0.50;0.35;0.63;0.46;0.77;0.57;0.85;0.46;0.50;0.72;0.36
5,0.2479,0.2901,0.0265,0.49;0.55;0.47;0.28;0.63;0.43;0.76;0.61;0.87;0.43;0.64;0.74;0.48
6,0.2487,0.3013,0.0499,0.48;0.59;0.50;0.37;0.65;0.40;0.76;0.66;0.85;0.47;0.69;0.81;0.51
7,0.2519,0.3334,0.0809,0.49;0.61;0.52;0.45;0.61;0.43;0.76;0.65;0.89;0.53;0.87;0.88;0.83
8,0.2438,0.3079,0.0758,0.49;0.58;0.50;0.41;0.59;0.47;0.75;0.55;0.88;0.50;0.79;0.77;0.76
9,0.2345,0.3973,0.1302,0.56;0.59;0.55;0.41;0.65;0.44;0.76;0.60;0.89;0.51;1.07;1.02;1.14
10,0.2433,0.3870,0.1460,0.46;0.56;0.50;0.37;0.66;0.40;0.76;0.55;0.87;0.43;1.07;0.90;1.24
11,0.2435,0.5139,0.2134,0.48;0.59;0.50;0.38;0.69;0.98;0.76;0.56;1.39;2.38;0.86;0.71;0.63
12,0.2524,0.4558,0.1952,0.45;0.59;0.50;0.41;0.63;0.97;0.75;0.60;1.15;2.03;0.74;0.71;0.59
13,0.2471,0.2782,0.1081,0.51;0.62;0.54;0.49;0.61;0.46;0.76;0.64;0.81;0.51;0.58;0.75;0.45
14,0.2457,0.2920,0.0989,0.60;0.60;0.56;0.49;0.63;0.45;0.76;0.64;0.85;0.41;0.62;0.71;0.51
